 20185160,  25.0
 20185163,  25.0
 20173303,  42.0
 20185129,  64.0
 20185156,  78.0
 20185113,  49.0
 20185107,  45.0
 20185138,  58.0
 20185126,  48.0
 20185137,  70.0
 20185148,  59.0
 20185115,  44.0
 20185159,  47.0
 20185141,  35.0
 20185100,  42.0
 20173123,  44.0
 20185101,  63.0
 20185099,  84.0
 20185146,  23.0
 20185135,  77.0
 20185106,  63.0
 20185132,  85.0
 20185125,  54.0
 20185153,  77.0
 20185157,  63.0
 20185127,  20.0
 20185161,  61.0
 20113376,  52.0
 20156118,  46.0
 20185134,  65.0
 20185119,  72.0
 20185139,  57.0
 20185140,  93.0
