 20145104,  67.0
 20145095,  68.0
 20145141,  56.0
 20165109,  44.0
 20165093,  51.0
 20165089,  40.0
 20145138,  67.0
 20145295,  67.0
 20145297,  62.0
 20145093,  60.0
 20133349,  65.0
 20145294,  38.0
 20145100,  39.0
 20165127,  53.0
 20145118,  68.0
 20145113,  50.0
 20145121,  59.0
 20145097,  25.0
 20145108,  85.0
 20145143,  45.0
 20165138,  95.0
 20145134,  74.0
 20145145,  82.0
 20145144,  86.0
 20165114,  53.0
 20145106,  68.0
 20145089,  52.0
 20134281,  64.0
 20165115,  54.0
 20145114,  53.0
 20145112,  60.0
 20123372,  42.0
 20165111,  16.0
 20145140,  21.0
 20176115,  10.0
 20176112,  3.0
 20123382,  25.0
 20134276,  21.0
 20165088,  11.0
 20165091,  10.0
 20165095,  27.0
 20134262,  64.0
 20145090,  67.0
 20152172,  80.0
 20165099,  32.0
 20145096,  40.0
 20145107,  34.0
 20165141,  44.0
 20134265,  16.0
 20145300,  37.0
 20165112,  40.0
 20123338,  23.0
 20165106,  32.0
 20134253,  38.0
 20145137,  41.0
 20145116,  28.0
 20142008,  60.0
 20145110,  60.0
 20145296,  40.0
 20165135,  46.0
 20145087,  43.0
 20155120,  36.0
 20145139,  38.0
